timestamp,stage,config_name,shake_name,candidate_name,instance,n,k,seed,time_limit,config_json,feasible,max_route,total_distance,balance,runtime,iterations,outer_iterations
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1726.9760167148297,8577.41945243181,24.57221256362982,10.000090399989858,1406,260
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1709.7965540723,8465.69661431541,25.155147875899956,10.000097500043921,1384,256
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n100_k5_seed01.txt,100,5,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,1785.52529846359,8865.28790011441,38.237417060890266,10.000072099966928,1512,267
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,879.2698585247998,17147.81369587068,54.34172331139996,10.000216800021008,467,34
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,918.6239237365,17478.14899049058,129.01139758590023,10.000114199938253,543,38
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n300_k20_seed01.txt,300,20,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,898.1232423556,17620.29430646335,39.29546531842004,10.00024049996864,436,34
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,693.807353604,66964.61670101537,90.44225997077001,10.000983899924904,136,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,2,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,693.807353604,67592.48721987447,85.60142068790003,10.001711399992928,121,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/uniform/uniform_center_n1000_k100_seed01.txt,1000,100,3,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,693.807353604,67523.95603589724,84.45847502979984,10.002034400007688,105,1
20260606_233522,baseline,baseline,shake5,cand24,data/generated/cluster/cluster5_n100_k5_seed01.txt,100,5,1,10.0,"{""candidate_limit"": 24, ""max_shake_level"": 5}",True,904.5283329245001,4422.02555410918,28.807762023920077,10.00007219996769,1455,276
