dataset,instance,path,n,k,algorithm,max_route,total_distance,balance,runtime,iterations,return_to_depot,local_search,has_reference,reference_type,reference_max_route,reference_total_distance,reference_balance,max_route_gap,max_route_gap_percent,total_distance_gap,status,reference_source,reference_source_file,solution_path
cvrplib_converted,A-n32-k5,data\cvrplib_converted\A-n32-k5.txt,31,5,alns,112,540,17,5.000116,30440,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\A-n32-k5.txt
cvrplib_converted,A-n60-k9,data\cvrplib_converted\A-n60-k9.txt,59,9,alns,111,784,111,5.001076,7165,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\A-n60-k9.txt
cvrplib_converted,A-n80-k10,data\cvrplib_converted\A-n80-k10.txt,79,10,alns,126,1097,126,5.000955,3265,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\A-n80-k10.txt
cvrplib_converted,M-n151-k12,data\cvrplib_converted\M-n151-k12.txt,150,12,alns,68,752,13,5.000156,726,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\M-n151-k12.txt
cvrplib_converted,P-n101-k4,data\cvrplib_converted\P-n101-k4.txt,100,4,alns,165,656,2,5.004737,1660,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\P-n101-k4.txt
cvrplib_converted,X-n251-k28,data\cvrplib_converted\X-n251-k28.txt,250,28,alns,1019,23094,727,5.039537,278,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\X-n251-k28.txt
cvrplib_converted,X-n459-k26,data\cvrplib_converted\X-n459-k26.txt,458,26,alns,685,15944,384,5.018252,69,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\X-n459-k26.txt
cvrplib_converted,X-n749-k98,data\cvrplib_converted\X-n749-k98.txt,748,98,alns,683,36507,673,5.025055,30,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\X-n749-k98.txt
cvrplib_converted,X-n1001-k43,data\cvrplib_converted\X-n1001-k43.txt,1000,43,alns,1294,52822,161,5.015594,78,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\X-n1001-k43.txt
hustack,tc1,data\hustack\tc1.txt,10,2,alns,28,53,3,5.000015,118203,no,no,yes,jury,28,53,3,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc1.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc1.txt
hustack,tc2,data\hustack\tc2.txt,600,20,alns,67,1291,9,5.053397,154,no,no,yes,jury,66,1277,8,1,1.52,14,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc2.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc2.txt
hustack,tc3,data\hustack\tc3.txt,800,20,alns,73,1395,11,5.006616,49,no,no,yes,jury,75,1463,6,-2,-2.67,-68,better_max,HUSTACK jury output,data\raw\hustack_jury\tc3.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc3.txt
hustack,tc4,data\hustack\tc4.txt,1000,20,alns,79,1527,4,5.167750,35,no,no,yes,jury,95,1827,9,-16,-16.84,-300,better_max,HUSTACK jury output,data\raw\hustack_jury\tc4.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc4.txt
hustack,tc5,data\hustack\tc5.txt,700,20,alns,72,1361,19,5.153864,57,no,no,yes,jury,71,1380,8,1,1.41,-19,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc5.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc5.txt
hustack,tc6,data\hustack\tc6.txt,100,5,alns,32,154,3,5.001084,636,no,no,yes,jury,33,164,1,-1,-3.03,-10,better_max,HUSTACK jury output,data\raw\hustack_jury\tc6.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc6.txt
hustack,tc7,data\hustack\tc7.txt,1000,20,alns,79,1527,4,5.047712,38,no,no,yes,jury,95,1827,9,-16,-16.84,-300,better_max,HUSTACK jury output,data\raw\hustack_jury\tc7.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc7.txt
hustack,tc8,data\hustack\tc8.txt,500,10,alns,94,907,13,5.001455,108,no,no,yes,jury,104,1025,5,-10,-9.62,-118,better_max,HUSTACK jury output,data\raw\hustack_jury\tc8.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc8.txt
hustack,tc9,data\hustack\tc9.txt,100,5,alns,31,153,1,5.009203,929,no,no,yes,jury,33,164,1,-2,-6.06,-11,better_max,HUSTACK jury output,data\raw\hustack_jury\tc9.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc9.txt
hustack,tc10,data\hustack\tc10.txt,900,20,alns,76,1484,3,5.047827,37,no,no,yes,jury,78,1535,4,-2,-2.56,-51,better_max,HUSTACK jury output,data\raw\hustack_jury\tc10.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc10.txt
hustack,tc11,data\hustack\tc11.txt,200,10,alns,26,251,3,5.002528,192,no,no,yes,jury,28,274,3,-2,-7.14,-23,better_max,HUSTACK jury output,data\raw\hustack_jury\tc11.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc11.txt
hustack,tc12,data\hustack\tc12.txt,6,2,alns,10,19,1,5.000016,96028,no,no,yes,jury,10,19,1,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc12.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc12.txt
hustack,tc13,data\hustack\tc13.txt,6,2,alns,10,19,1,5.000035,240384,no,no,yes,jury,10,19,1,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc13.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc13.txt
mtsplib_minmax,berlin52_k2,data\mtsplib_minmax\berlin52_k2.txt,51,2,alns,4118,8206,30,5.002210,3957,yes,no,yes,main,4110,8218,2,8,0.19,-12,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\berlin52_k2.txt
mtsplib_minmax,berlin52_k3,data\mtsplib_minmax\berlin52_k3.txt,51,3,alns,3133,9360,25,5.001994,3571,yes,no,yes,main,3245,9587,91,-112,-3.45,-227,better_max,MTSPLIB MinMaxMTSP tours,berlin52(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\berlin52_k3.txt
mtsplib_minmax,berlin52_k5,data\mtsplib_minmax\berlin52_k5.txt,51,5,alns,2440,11714,371,5.000598,3891,yes,no,yes,main,2441,12082,71,-1,-0.04,-368,better_max,MTSPLIB MinMaxMTSP tours,berlin52(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\berlin52_k5.txt
mtsplib_minmax,berlin52_k7,data\mtsplib_minmax\berlin52_k7.txt,51,7,alns,2440,11714,2440,5.001000,3772,yes,no,yes,main,2440,16770,211,0,0.00,-5056,same_max_better_total,MTSPLIB MinMaxMTSP tours,berlin52(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\berlin52_k7.txt
mtsplib_minmax,eil51_k2,data\mtsplib_minmax\eil51_k2.txt,50,2,alns,224,444,4,5.000883,4586,yes,no,yes,main,223,443,3,1,0.45,1,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\eil51_k2.txt
mtsplib_minmax,eil51_k3,data\mtsplib_minmax\eil51_k3.txt,50,3,alns,159,470,4,5.000434,4881,yes,no,yes,main,159,474,3,0,0.00,-4,same_max_better_total,MTSPLIB MinMaxMTSP tours,eil51(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\eil51_k3.txt
mtsplib_minmax,eil51_k5,data\mtsplib_minmax\eil51_k5.txt,50,5,alns,118,568,14,5.000351,4275,yes,no,yes,main,124,613,3,-6,-4.84,-45,better_max,MTSPLIB MinMaxMTSP tours,eil51(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\eil51_k5.txt
mtsplib_minmax,eil51_k7,data\mtsplib_minmax\eil51_k7.txt,50,7,alns,112,624,112,5.001498,6080,yes,no,yes,main,112,760,14,0,0.00,-136,same_max_better_total,MTSPLIB MinMaxMTSP tours,eil51(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\eil51_k7.txt
mtsplib_minmax,eil76_k2,data\mtsplib_minmax\eil76_k2.txt,75,2,alns,284,565,3,5.000118,1510,yes,no,yes,main,279,556,2,5,1.79,9,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\eil76_k2.txt
mtsplib_minmax,eil76_k3,data\mtsplib_minmax\eil76_k3.txt,75,3,alns,200,598,2,5.001081,1557,yes,no,yes,main,195,581,3,5,2.56,17,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\eil76_k3.txt
mtsplib_minmax,eil76_k5,data\mtsplib_minmax\eil76_k5.txt,75,5,alns,144,704,10,5.004690,1567,yes,no,yes,main,149,742,1,-5,-3.36,-38,better_max,MTSPLIB MinMaxMTSP tours,eil76(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\eil76_k5.txt
mtsplib_minmax,eil76_k7,data\mtsplib_minmax\eil76_k7.txt,75,7,alns,127,829,26,5.002317,1455,yes,no,yes,main,140,958,9,-13,-9.29,-129,better_max,MTSPLIB MinMaxMTSP tours,eil76(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\eil76_k7.txt
mtsplib_minmax,rat99_k2,data\mtsplib_minmax\rat99_k2.txt,98,2,alns,692,1384,0,5.004662,816,yes,no,yes,main,726,1451,1,-34,-4.68,-67,better_max,MTSPLIB MinMaxMTSP tours,rat99(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\rat99_k2.txt
mtsplib_minmax,rat99_k3,data\mtsplib_minmax\rat99_k3.txt,98,3,alns,520,1552,8,5.003601,753,yes,no,yes,main,585,1744,10,-65,-11.11,-192,better_max,MTSPLIB MinMaxMTSP tours,rat99(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\rat99_k3.txt
mtsplib_minmax,rat99_k5,data\mtsplib_minmax\rat99_k5.txt,98,5,alns,459,2231,32,5.005961,712,yes,no,yes,main,468,2331,4,-9,-1.92,-100,better_max,MTSPLIB MinMaxMTSP tours,rat99(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\rat99_k5.txt
mtsplib_minmax,rat99_k7,data\mtsplib_minmax\rat99_k7.txt,98,7,alns,442,2849,174,5.007217,719,yes,no,yes,main,444,3068,23,-2,-0.45,-219,better_max,MTSPLIB MinMaxMTSP tours,rat99(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\alns\rat99_k7.txt
tsplib_converted,berlin52_k3,data\tsplib_converted\berlin52_k3.txt,51,3,alns,2522,7515,39,5.001101,4043,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\berlin52_k3.txt
tsplib_converted,ch130_k10,data\tsplib_converted\ch130_k10.txt,129,10,alns,751,7079,239,5.008659,357,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\ch130_k10.txt
tsplib_converted,eil51_k2,data\tsplib_converted\eil51_k2.txt,50,2,alns,211,420,2,5.001396,4850,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\eil51_k2.txt
tsplib_converted,kroA100_k5,data\tsplib_converted\kroA100_k5.txt,99,5,alns,4692,22852,244,5.005299,703,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\kroA100_k5.txt
tsplib_converted,kroA200_k20,data\tsplib_converted\kroA200_k20.txt,199,20,alns,3187,54813,1745,5.014454,163,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\kroA200_k20.txt
tsplib_converted,lin318_k20,data\tsplib_converted\lin318_k20.txt,317,20,alns,4968,87801,1897,5.014805,112,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\lin318_k20.txt
tsplib_converted,pcb442_k50,data\tsplib_converted\pcb442_k50.txt,441,50,alns,4404,141676,4404,5.054007,139,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\pcb442_k50.txt
tsplib_converted,u724_k100,data\tsplib_converted\u724_k100.txt,723,100,alns,3198,171750,3198,5.054049,29,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\u724_k100.txt
