dataset,instance,path,n,k,algorithm,max_route,total_distance,balance,runtime,iterations,return_to_depot,local_search,has_reference,reference_type,reference_max_route,reference_total_distance,reference_balance,max_route_gap,max_route_gap_percent,total_distance_gap,status,reference_source,reference_source_file,solution_path
hustack,tc1,data\hustack\tc1.txt,10,2,alns,28,53,3,5.000015,118203,no,no,yes,jury,28,53,3,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc1.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc1.txt
hustack,tc1,data\hustack\tc1.txt,10,2,round_robin,49,97,1,0.000007,1,no,no,yes,jury,28,53,3,21,75.00,44,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc1.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc1.txt
hustack,tc1,data\hustack\tc1.txt,10,2,greedy_balanced,28,53,3,0.000059,1,no,no,yes,jury,28,53,3,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc1.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc1.txt
hustack,tc1,data\hustack\tc1.txt,10,2,nearest_insertion,28,53,3,0.000058,1,no,no,yes,jury,28,53,3,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc1.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc1.txt
hustack,tc2,data\hustack\tc2.txt,600,20,alns,67,1291,9,5.053397,154,no,no,yes,jury,66,1277,8,1,1.52,14,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc2.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc2.txt
hustack,tc2,data\hustack\tc2.txt,600,20,round_robin,980,15678,388,0.000064,1,no,no,yes,jury,66,1277,8,914,1384.85,14401,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc2.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc2.txt
hustack,tc2,data\hustack\tc2.txt,600,20,greedy_balanced,75,1382,15,0.156892,1,no,no,yes,jury,66,1277,8,9,13.64,105,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc2.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc2.txt
hustack,tc2,data\hustack\tc2.txt,600,20,nearest_insertion,100,1799,16,0.045769,1,no,no,yes,jury,66,1277,8,34,51.52,522,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc2.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc2.txt
hustack,tc3,data\hustack\tc3.txt,800,20,alns,73,1395,11,5.006616,49,no,no,yes,jury,75,1463,6,-2,-2.67,-68,better_max,HUSTACK jury output,data\raw\hustack_jury\tc3.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc3.txt
hustack,tc3,data\hustack\tc3.txt,800,20,round_robin,1290,21331,420,0.000137,1,no,no,yes,jury,75,1463,6,1215,1620.00,19868,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc3.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc3.txt
hustack,tc3,data\hustack\tc3.txt,800,20,greedy_balanced,81,1463,15,0.339959,1,no,no,yes,jury,75,1463,6,6,8.00,0,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc3.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc3.txt
hustack,tc3,data\hustack\tc3.txt,800,20,nearest_insertion,105,1937,12,0.064133,1,no,no,yes,jury,75,1463,6,30,40.00,474,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc3.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc3.txt
hustack,tc4,data\hustack\tc4.txt,1000,20,alns,79,1527,4,5.167750,35,no,no,yes,jury,95,1827,9,-16,-16.84,-300,better_max,HUSTACK jury output,data\raw\hustack_jury\tc4.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc4.txt
hustack,tc4,data\hustack\tc4.txt,1000,20,round_robin,1491,26101,331,0.000184,1,no,no,yes,jury,95,1827,9,1396,1469.47,24274,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc4.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc4.txt
hustack,tc4,data\hustack\tc4.txt,1000,20,greedy_balanced,82,1561,14,0.549550,1,no,no,yes,jury,95,1827,9,-13,-13.68,-266,better_max,HUSTACK jury output,data\raw\hustack_jury\tc4.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc4.txt
hustack,tc4,data\hustack\tc4.txt,1000,20,nearest_insertion,129,2062,32,0.097003,1,no,no,yes,jury,95,1827,9,34,35.79,235,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc4.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc4.txt
hustack,tc5,data\hustack\tc5.txt,700,20,alns,72,1361,19,5.153864,57,no,no,yes,jury,71,1380,8,1,1.41,-19,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc5.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc5.txt
hustack,tc5,data\hustack\tc5.txt,700,20,round_robin,1065,18770,262,0.000133,1,no,no,yes,jury,71,1380,8,994,1400.00,17390,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc5.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc5.txt
hustack,tc5,data\hustack\tc5.txt,700,20,greedy_balanced,77,1422,11,0.267980,1,no,no,yes,jury,71,1380,8,6,8.45,42,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc5.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc5.txt
hustack,tc5,data\hustack\tc5.txt,700,20,nearest_insertion,110,1966,20,0.060467,1,no,no,yes,jury,71,1380,8,39,54.93,586,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc5.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc5.txt
hustack,tc6,data\hustack\tc6.txt,100,5,alns,32,154,3,5.001084,636,no,no,yes,jury,33,164,1,-1,-3.03,-10,better_max,HUSTACK jury output,data\raw\hustack_jury\tc6.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc6.txt
hustack,tc6,data\hustack\tc6.txt,100,5,round_robin,264,1055,92,0.000014,1,no,no,yes,jury,33,164,1,231,700.00,891,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc6.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc6.txt
hustack,tc6,data\hustack\tc6.txt,100,5,greedy_balanced,34,152,9,0.007115,1,no,no,yes,jury,33,164,1,1,3.03,-12,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc6.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc6.txt
hustack,tc6,data\hustack\tc6.txt,100,5,nearest_insertion,53,220,12,0.002606,1,no,no,yes,jury,33,164,1,20,60.61,56,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc6.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc6.txt
hustack,tc7,data\hustack\tc7.txt,1000,20,alns,79,1527,4,5.047712,38,no,no,yes,jury,95,1827,9,-16,-16.84,-300,better_max,HUSTACK jury output,data\raw\hustack_jury\tc7.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc7.txt
hustack,tc7,data\hustack\tc7.txt,1000,20,round_robin,1491,26101,331,0.000105,1,no,no,yes,jury,95,1827,9,1396,1469.47,24274,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc7.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc7.txt
hustack,tc7,data\hustack\tc7.txt,1000,20,greedy_balanced,82,1561,14,0.455147,1,no,no,yes,jury,95,1827,9,-13,-13.68,-266,better_max,HUSTACK jury output,data\raw\hustack_jury\tc7.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc7.txt
hustack,tc7,data\hustack\tc7.txt,1000,20,nearest_insertion,129,2062,32,0.096378,1,no,no,yes,jury,95,1827,9,34,35.79,235,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc7.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc7.txt
hustack,tc8,data\hustack\tc8.txt,500,10,alns,94,907,13,5.001455,108,no,no,yes,jury,104,1025,5,-10,-9.62,-118,better_max,HUSTACK jury output,data\raw\hustack_jury\tc8.out,outputs\experiments\algorithm_benchmarks\hustack\alns\tc8.txt
