dataset,instance,path,n,k,algorithm,max_route,total_distance,balance,runtime,iterations,return_to_depot,local_search,has_reference,reference_type,reference_max_route,reference_total_distance,reference_balance,max_route_gap,max_route_gap_percent,total_distance_gap,status,reference_source,reference_source_file,solution_path
cvrplib_converted,A-n32-k5,data\cvrplib_converted\A-n32-k5.txt,31,5,alns,112,540,17,5.000116,30440,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\A-n32-k5.txt
cvrplib_converted,A-n32-k5,data\cvrplib_converted\A-n32-k5.txt,31,5,round_robin,367,1660,86,0.000009,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\A-n32-k5.txt
cvrplib_converted,A-n32-k5,data\cvrplib_converted\A-n32-k5.txt,31,5,greedy_balanced,141,675,13,0.000257,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\A-n32-k5.txt
cvrplib_converted,A-n32-k5,data\cvrplib_converted\A-n32-k5.txt,31,5,nearest_insertion,179,804,33,0.000125,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\A-n32-k5.txt
cvrplib_converted,A-n60-k9,data\cvrplib_converted\A-n60-k9.txt,59,9,alns,111,784,111,5.001076,7165,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\A-n60-k9.txt
cvrplib_converted,A-n60-k9,data\cvrplib_converted\A-n60-k9.txt,59,9,round_robin,468,3116,297,0.000009,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\A-n60-k9.txt
cvrplib_converted,A-n60-k9,data\cvrplib_converted\A-n60-k9.txt,59,9,greedy_balanced,121,807,105,0.000861,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\A-n60-k9.txt
cvrplib_converted,A-n60-k9,data\cvrplib_converted\A-n60-k9.txt,59,9,nearest_insertion,155,1166,41,0.000194,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\A-n60-k9.txt
cvrplib_converted,A-n80-k10,data\cvrplib_converted\A-n80-k10.txt,79,10,alns,126,1097,126,5.000955,3265,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\A-n80-k10.txt
cvrplib_converted,A-n80-k10,data\cvrplib_converted\A-n80-k10.txt,79,10,round_robin,556,3933,264,0.000008,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\A-n80-k10.txt
cvrplib_converted,A-n80-k10,data\cvrplib_converted\A-n80-k10.txt,79,10,greedy_balanced,154,1240,46,0.001333,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\A-n80-k10.txt
cvrplib_converted,A-n80-k10,data\cvrplib_converted\A-n80-k10.txt,79,10,nearest_insertion,196,1641,44,0.000306,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\A-n80-k10.txt
cvrplib_converted,M-n151-k12,data\cvrplib_converted\M-n151-k12.txt,150,12,alns,68,752,13,5.000156,726,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\M-n151-k12.txt
cvrplib_converted,M-n151-k12,data\cvrplib_converted\M-n151-k12.txt,150,12,round_robin,565,5062,233,0.000013,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\M-n151-k12.txt
cvrplib_converted,M-n151-k12,data\cvrplib_converted\M-n151-k12.txt,150,12,greedy_balanced,78,849,20,0.004481,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\M-n151-k12.txt
cvrplib_converted,M-n151-k12,data\cvrplib_converted\M-n151-k12.txt,150,12,nearest_insertion,153,1195,80,0.000954,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\M-n151-k12.txt
cvrplib_converted,P-n101-k4,data\cvrplib_converted\P-n101-k4.txt,100,4,alns,165,656,2,5.004737,1660,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\P-n101-k4.txt
cvrplib_converted,P-n101-k4,data\cvrplib_converted\P-n101-k4.txt,100,4,round_robin,990,3442,216,0.000009,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\P-n101-k4.txt
cvrplib_converted,P-n101-k4,data\cvrplib_converted\P-n101-k4.txt,100,4,greedy_balanced,191,751,6,0.001504,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\P-n101-k4.txt
cvrplib_converted,P-n101-k4,data\cvrplib_converted\P-n101-k4.txt,100,4,nearest_insertion,215,783,40,0.000611,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\P-n101-k4.txt
cvrplib_converted,X-n251-k28,data\cvrplib_converted\X-n251-k28.txt,250,28,alns,1019,23094,727,5.039537,278,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\X-n251-k28.txt
cvrplib_converted,X-n251-k28,data\cvrplib_converted\X-n251-k28.txt,250,28,round_robin,5665,114077,3735,0.000155,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\X-n251-k28.txt
cvrplib_converted,X-n251-k28,data\cvrplib_converted\X-n251-k28.txt,250,28,greedy_balanced,1178,21517,1043,0.086957,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\X-n251-k28.txt
cvrplib_converted,X-n251-k28,data\cvrplib_converted\X-n251-k28.txt,250,28,nearest_insertion,1577,35189,514,0.005359,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\X-n251-k28.txt
cvrplib_converted,X-n459-k26,data\cvrplib_converted\X-n459-k26.txt,458,26,alns,685,15944,384,5.018252,69,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\X-n459-k26.txt
cvrplib_converted,X-n459-k26,data\cvrplib_converted\X-n459-k26.txt,458,26,round_robin,8425,161748,3815,0.000051,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\X-n459-k26.txt
cvrplib_converted,X-n459-k26,data\cvrplib_converted\X-n459-k26.txt,458,26,greedy_balanced,738,17180,300,0.199874,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\X-n459-k26.txt
cvrplib_converted,X-n459-k26,data\cvrplib_converted\X-n459-k26.txt,458,26,nearest_insertion,1744,27484,892,0.026046,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\X-n459-k26.txt
cvrplib_converted,X-n749-k98,data\cvrplib_converted\X-n749-k98.txt,748,98,alns,683,36507,673,5.025055,30,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\X-n749-k98.txt
cvrplib_converted,X-n749-k98,data\cvrplib_converted\X-n749-k98.txt,748,98,round_robin,4704,284805,3260,0.000063,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\X-n749-k98.txt
cvrplib_converted,X-n749-k98,data\cvrplib_converted\X-n749-k98.txt,748,98,greedy_balanced,683,36507,673,0.358829,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\X-n749-k98.txt
cvrplib_converted,X-n749-k98,data\cvrplib_converted\X-n749-k98.txt,748,98,nearest_insertion,1358,90461,721,0.017698,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\X-n749-k98.txt
cvrplib_converted,X-n1001-k43,data\cvrplib_converted\X-n1001-k43.txt,1000,43,alns,1294,52822,161,5.015594,78,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\alns\X-n1001-k43.txt
cvrplib_converted,X-n1001-k43,data\cvrplib_converted\X-n1001-k43.txt,1000,43,round_robin,14660,524648,4871,0.000052,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\X-n1001-k43.txt
cvrplib_converted,X-n1001-k43,data\cvrplib_converted\X-n1001-k43.txt,1000,43,greedy_balanced,1366,55973,231,0.294597,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\X-n1001-k43.txt
cvrplib_converted,X-n1001-k43,data\cvrplib_converted\X-n1001-k43.txt,1000,43,nearest_insertion,1954,68654,488,0.035055,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\X-n1001-k43.txt
tsplib_converted,berlin52_k3,data\tsplib_converted\berlin52_k3.txt,51,3,alns,2522,7515,39,5.001101,4043,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\berlin52_k3.txt
tsplib_converted,berlin52_k3,data\tsplib_converted\berlin52_k3.txt,51,3,round_robin,10290,29478,719,0.000020,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\berlin52_k3.txt
tsplib_converted,berlin52_k3,data\tsplib_converted\berlin52_k3.txt,51,3,greedy_balanced,3063,8753,281,0.001448,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\berlin52_k3.txt
tsplib_converted,berlin52_k3,data\tsplib_converted\berlin52_k3.txt,51,3,nearest_insertion,3723,9487,946,0.000604,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\berlin52_k3.txt
tsplib_converted,ch130_k10,data\tsplib_converted\ch130_k10.txt,129,10,alns,751,7079,239,5.008659,357,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\ch130_k10.txt
tsplib_converted,ch130_k10,data\tsplib_converted\ch130_k10.txt,129,10,round_robin,5647,44808,1854,0.000023,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\ch130_k10.txt
tsplib_converted,ch130_k10,data\tsplib_converted\ch130_k10.txt,129,10,greedy_balanced,950,8738,236,0.007234,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\ch130_k10.txt
tsplib_converted,ch130_k10,data\tsplib_converted\ch130_k10.txt,129,10,nearest_insertion,1530,13183,328,0.002789,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\nearest_insertion\ch130_k10.txt
tsplib_converted,eil51_k2,data\tsplib_converted\eil51_k2.txt,50,2,alns,211,420,2,5.001396,4850,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\alns\eil51_k2.txt
tsplib_converted,eil51_k2,data\tsplib_converted\eil51_k2.txt,50,2,round_robin,888,1602,174,0.000011,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\eil51_k2.txt
tsplib_converted,eil51_k2,data\tsplib_converted\eil51_k2.txt,50,2,greedy_balanced,246,486,6,0.000959,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\eil51_k2.txt
