dataset,instance,path,n,k,algorithm,max_route,total_distance,balance,runtime,iterations,return_to_depot,local_search,has_reference,reference_type,reference_max_route,reference_total_distance,reference_balance,max_route_gap,max_route_gap_percent,total_distance_gap,status,reference_source,reference_source_file,solution_path
cvrplib_converted,A-n32-k5,data\cvrplib_converted\A-n32-k5.txt,31,5,greedy_balanced,141,675,13,0.000257,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\A-n32-k5.txt
cvrplib_converted,A-n60-k9,data\cvrplib_converted\A-n60-k9.txt,59,9,greedy_balanced,121,807,105,0.000861,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\A-n60-k9.txt
cvrplib_converted,A-n80-k10,data\cvrplib_converted\A-n80-k10.txt,79,10,greedy_balanced,154,1240,46,0.001333,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\A-n80-k10.txt
cvrplib_converted,M-n151-k12,data\cvrplib_converted\M-n151-k12.txt,150,12,greedy_balanced,78,849,20,0.004481,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\M-n151-k12.txt
cvrplib_converted,P-n101-k4,data\cvrplib_converted\P-n101-k4.txt,100,4,greedy_balanced,191,751,6,0.001504,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\P-n101-k4.txt
cvrplib_converted,X-n251-k28,data\cvrplib_converted\X-n251-k28.txt,250,28,greedy_balanced,1178,21517,1043,0.086957,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\X-n251-k28.txt
cvrplib_converted,X-n459-k26,data\cvrplib_converted\X-n459-k26.txt,458,26,greedy_balanced,738,17180,300,0.199874,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\X-n459-k26.txt
cvrplib_converted,X-n749-k98,data\cvrplib_converted\X-n749-k98.txt,748,98,greedy_balanced,683,36507,673,0.358829,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\X-n749-k98.txt
cvrplib_converted,X-n1001-k43,data\cvrplib_converted\X-n1001-k43.txt,1000,43,greedy_balanced,1366,55973,231,0.294597,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\greedy_balanced\X-n1001-k43.txt
hustack,tc1,data\hustack\tc1.txt,10,2,greedy_balanced,28,53,3,0.000059,1,no,no,yes,jury,28,53,3,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc1.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc1.txt
hustack,tc2,data\hustack\tc2.txt,600,20,greedy_balanced,75,1382,15,0.156892,1,no,no,yes,jury,66,1277,8,9,13.64,105,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc2.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc2.txt
hustack,tc3,data\hustack\tc3.txt,800,20,greedy_balanced,81,1463,15,0.339959,1,no,no,yes,jury,75,1463,6,6,8.00,0,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc3.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc3.txt
hustack,tc4,data\hustack\tc4.txt,1000,20,greedy_balanced,82,1561,14,0.549550,1,no,no,yes,jury,95,1827,9,-13,-13.68,-266,better_max,HUSTACK jury output,data\raw\hustack_jury\tc4.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc4.txt
hustack,tc5,data\hustack\tc5.txt,700,20,greedy_balanced,77,1422,11,0.267980,1,no,no,yes,jury,71,1380,8,6,8.45,42,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc5.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc5.txt
hustack,tc6,data\hustack\tc6.txt,100,5,greedy_balanced,34,152,9,0.007115,1,no,no,yes,jury,33,164,1,1,3.03,-12,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc6.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc6.txt
hustack,tc7,data\hustack\tc7.txt,1000,20,greedy_balanced,82,1561,14,0.455147,1,no,no,yes,jury,95,1827,9,-13,-13.68,-266,better_max,HUSTACK jury output,data\raw\hustack_jury\tc7.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc7.txt
hustack,tc8,data\hustack\tc8.txt,500,10,greedy_balanced,102,982,14,0.038473,1,no,no,yes,jury,104,1025,5,-2,-1.92,-43,better_max,HUSTACK jury output,data\raw\hustack_jury\tc8.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc8.txt
hustack,tc9,data\hustack\tc9.txt,100,5,greedy_balanced,34,152,9,0.005802,1,no,no,yes,jury,33,164,1,1,3.03,-12,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc9.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc9.txt
hustack,tc10,data\hustack\tc10.txt,900,20,greedy_balanced,81,1556,9,0.375990,1,no,no,yes,jury,78,1535,4,3,3.85,21,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc10.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc10.txt
hustack,tc11,data\hustack\tc11.txt,200,10,greedy_balanced,30,278,6,0.018307,1,no,no,yes,jury,28,274,3,2,7.14,4,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc11.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc11.txt
hustack,tc12,data\hustack\tc12.txt,6,2,greedy_balanced,10,19,1,0.000072,1,no,no,yes,jury,10,19,1,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc12.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc12.txt
hustack,tc13,data\hustack\tc13.txt,6,2,greedy_balanced,10,19,1,0.000218,1,no,no,yes,jury,10,19,1,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc13.out,outputs\experiments\algorithm_benchmarks\hustack\greedy_balanced\tc13.txt
mtsplib_minmax,berlin52_k2,data\mtsplib_minmax\berlin52_k2.txt,51,2,greedy_balanced,4882,9750,14,0.001058,1,yes,no,yes,main,4110,8218,2,772,18.78,1532,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\berlin52_k2.txt
mtsplib_minmax,berlin52_k3,data\mtsplib_minmax\berlin52_k3.txt,51,3,greedy_balanced,3743,10459,416,0.001899,1,yes,no,yes,main,3245,9587,91,498,15.35,872,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\berlin52_k3.txt
mtsplib_minmax,berlin52_k5,data\mtsplib_minmax\berlin52_k5.txt,51,5,greedy_balanced,2734,11500,1268,0.002093,1,yes,no,yes,main,2441,12082,71,293,12.00,-582,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\berlin52_k5.txt
mtsplib_minmax,berlin52_k7,data\mtsplib_minmax\berlin52_k7.txt,51,7,greedy_balanced,2448,15964,722,0.000686,1,yes,no,yes,main,2440,16770,211,8,0.33,-806,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\berlin52_k7.txt
mtsplib_minmax,eil51_k2,data\mtsplib_minmax\eil51_k2.txt,50,2,greedy_balanced,251,496,6,0.001066,1,yes,no,yes,main,223,443,3,28,12.56,53,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\eil51_k2.txt
mtsplib_minmax,eil51_k3,data\mtsplib_minmax\eil51_k3.txt,50,3,greedy_balanced,176,524,2,0.000750,1,yes,no,yes,main,159,474,3,17,10.69,50,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\eil51_k3.txt
mtsplib_minmax,eil51_k5,data\mtsplib_minmax\eil51_k5.txt,50,5,greedy_balanced,134,640,13,0.002287,1,yes,no,yes,main,124,613,3,10,8.06,27,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\eil51_k5.txt
mtsplib_minmax,eil51_k7,data\mtsplib_minmax\eil51_k7.txt,50,7,greedy_balanced,113,737,17,0.001267,1,yes,no,yes,main,112,760,14,1,0.89,-23,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\eil51_k7.txt
mtsplib_minmax,eil76_k2,data\mtsplib_minmax\eil76_k2.txt,75,2,greedy_balanced,325,643,7,0.001461,1,yes,no,yes,main,279,556,2,46,16.49,87,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\eil76_k2.txt
mtsplib_minmax,eil76_k3,data\mtsplib_minmax\eil76_k3.txt,75,3,greedy_balanced,228,676,8,0.001599,1,yes,no,yes,main,195,581,3,33,16.92,95,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\eil76_k3.txt
mtsplib_minmax,eil76_k5,data\mtsplib_minmax\eil76_k5.txt,75,5,greedy_balanced,180,809,31,0.002917,1,yes,no,yes,main,149,742,1,31,20.81,67,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\eil76_k5.txt
mtsplib_minmax,eil76_k7,data\mtsplib_minmax\eil76_k7.txt,75,7,greedy_balanced,143,923,21,0.004891,1,yes,no,yes,main,140,958,9,3,2.14,-35,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\eil76_k7.txt
mtsplib_minmax,rat99_k2,data\mtsplib_minmax\rat99_k2.txt,98,2,greedy_balanced,803,1568,38,0.003142,1,yes,no,yes,main,726,1451,1,77,10.61,117,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\rat99_k2.txt
mtsplib_minmax,rat99_k3,data\mtsplib_minmax\rat99_k3.txt,98,3,greedy_balanced,614,1807,26,0.002988,1,yes,no,yes,main,585,1744,10,29,4.96,63,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\rat99_k3.txt
mtsplib_minmax,rat99_k5,data\mtsplib_minmax\rat99_k5.txt,98,5,greedy_balanced,484,2386,14,0.003275,1,yes,no,yes,main,468,2331,4,16,3.42,55,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\rat99_k5.txt
mtsplib_minmax,rat99_k7,data\mtsplib_minmax\rat99_k7.txt,98,7,greedy_balanced,458,3068,32,0.004869,1,yes,no,yes,main,444,3068,23,14,3.15,0,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\greedy_balanced\rat99_k7.txt
tsplib_converted,berlin52_k3,data\tsplib_converted\berlin52_k3.txt,51,3,greedy_balanced,3063,8753,281,0.001448,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\berlin52_k3.txt
tsplib_converted,ch130_k10,data\tsplib_converted\ch130_k10.txt,129,10,greedy_balanced,950,8738,236,0.007234,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\ch130_k10.txt
tsplib_converted,eil51_k2,data\tsplib_converted\eil51_k2.txt,50,2,greedy_balanced,246,486,6,0.000959,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\eil51_k2.txt
tsplib_converted,kroA100_k5,data\tsplib_converted\kroA100_k5.txt,99,5,greedy_balanced,5362,26644,94,0.005410,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\kroA100_k5.txt
tsplib_converted,kroA200_k20,data\tsplib_converted\kroA200_k20.txt,199,20,greedy_balanced,3236,57139,2786,0.044002,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\kroA200_k20.txt
tsplib_converted,lin318_k20,data\tsplib_converted\lin318_k20.txt,317,20,greedy_balanced,5337,101542,470,0.026126,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\lin318_k20.txt
tsplib_converted,pcb442_k50,data\tsplib_converted\pcb442_k50.txt,441,50,greedy_balanced,4407,144959,4307,0.242540,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\pcb442_k50.txt
tsplib_converted,u724_k100,data\tsplib_converted\u724_k100.txt,723,100,greedy_balanced,3200,172740,3052,0.968678,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\greedy_balanced\u724_k100.txt
