dataset,instance,path,n,k,algorithm,max_route,total_distance,balance,runtime,iterations,return_to_depot,local_search,has_reference,reference_type,reference_max_route,reference_total_distance,reference_balance,max_route_gap,max_route_gap_percent,total_distance_gap,status,reference_source,reference_source_file,solution_path
cvrplib_converted,A-n32-k5,data\cvrplib_converted\A-n32-k5.txt,31,5,nearest_insertion,179,804,33,0.000125,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\A-n32-k5.txt
cvrplib_converted,A-n60-k9,data\cvrplib_converted\A-n60-k9.txt,59,9,nearest_insertion,155,1166,41,0.000194,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\A-n60-k9.txt
cvrplib_converted,A-n80-k10,data\cvrplib_converted\A-n80-k10.txt,79,10,nearest_insertion,196,1641,44,0.000306,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\A-n80-k10.txt
cvrplib_converted,M-n151-k12,data\cvrplib_converted\M-n151-k12.txt,150,12,nearest_insertion,153,1195,80,0.000954,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\M-n151-k12.txt
cvrplib_converted,P-n101-k4,data\cvrplib_converted\P-n101-k4.txt,100,4,nearest_insertion,215,783,40,0.000611,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\P-n101-k4.txt
cvrplib_converted,X-n251-k28,data\cvrplib_converted\X-n251-k28.txt,250,28,nearest_insertion,1577,35189,514,0.005359,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\X-n251-k28.txt
cvrplib_converted,X-n459-k26,data\cvrplib_converted\X-n459-k26.txt,458,26,nearest_insertion,1744,27484,892,0.026046,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\X-n459-k26.txt
cvrplib_converted,X-n749-k98,data\cvrplib_converted\X-n749-k98.txt,748,98,nearest_insertion,1358,90461,721,0.017698,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\X-n749-k98.txt
cvrplib_converted,X-n1001-k43,data\cvrplib_converted\X-n1001-k43.txt,1000,43,nearest_insertion,1954,68654,488,0.035055,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\nearest_insertion\X-n1001-k43.txt
hustack,tc1,data\hustack\tc1.txt,10,2,nearest_insertion,28,53,3,0.000058,1,no,no,yes,jury,28,53,3,0,0.00,0,matched,HUSTACK jury output,data\raw\hustack_jury\tc1.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc1.txt
hustack,tc2,data\hustack\tc2.txt,600,20,nearest_insertion,100,1799,16,0.045769,1,no,no,yes,jury,66,1277,8,34,51.52,522,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc2.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc2.txt
hustack,tc3,data\hustack\tc3.txt,800,20,nearest_insertion,105,1937,12,0.064133,1,no,no,yes,jury,75,1463,6,30,40.00,474,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc3.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc3.txt
hustack,tc4,data\hustack\tc4.txt,1000,20,nearest_insertion,129,2062,32,0.097003,1,no,no,yes,jury,95,1827,9,34,35.79,235,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc4.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc4.txt
hustack,tc5,data\hustack\tc5.txt,700,20,nearest_insertion,110,1966,20,0.060467,1,no,no,yes,jury,71,1380,8,39,54.93,586,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc5.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc5.txt
hustack,tc6,data\hustack\tc6.txt,100,5,nearest_insertion,53,220,12,0.002606,1,no,no,yes,jury,33,164,1,20,60.61,56,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc6.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc6.txt
hustack,tc7,data\hustack\tc7.txt,1000,20,nearest_insertion,129,2062,32,0.096378,1,no,no,yes,jury,95,1827,9,34,35.79,235,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc7.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc7.txt
hustack,tc8,data\hustack\tc8.txt,500,10,nearest_insertion,176,1572,27,0.009730,1,no,no,yes,jury,104,1025,5,72,69.23,547,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc8.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc8.txt
hustack,tc9,data\hustack\tc9.txt,100,5,nearest_insertion,53,220,12,0.003094,1,no,no,yes,jury,33,164,1,20,60.61,56,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc9.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc9.txt
hustack,tc10,data\hustack\tc10.txt,900,20,nearest_insertion,124,2039,31,0.077909,1,no,no,yes,jury,78,1535,4,46,58.97,504,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc10.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc10.txt
hustack,tc11,data\hustack\tc11.txt,200,10,nearest_insertion,45,353,13,0.002910,1,no,no,yes,jury,28,274,3,17,60.71,79,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc11.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc11.txt
hustack,tc12,data\hustack\tc12.txt,6,2,nearest_insertion,12,22,2,0.000043,1,no,no,yes,jury,10,19,1,2,20.00,3,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc12.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc12.txt
hustack,tc13,data\hustack\tc13.txt,6,2,nearest_insertion,12,22,2,0.000044,1,no,no,yes,jury,10,19,1,2,20.00,3,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc13.out,outputs\experiments\algorithm_benchmarks\hustack\nearest_insertion\tc13.txt
mtsplib_minmax,berlin52_k2,data\mtsplib_minmax\berlin52_k2.txt,51,2,nearest_insertion,5373,10395,351,0.000456,1,yes,no,yes,main,4110,8218,2,1263,30.73,2177,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\berlin52_k2.txt
mtsplib_minmax,berlin52_k3,data\mtsplib_minmax\berlin52_k3.txt,51,3,nearest_insertion,4826,13550,521,0.001010,1,yes,no,yes,main,3245,9587,91,1581,48.72,3963,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\berlin52_k3.txt
mtsplib_minmax,berlin52_k5,data\mtsplib_minmax\berlin52_k5.txt,51,5,nearest_insertion,4185,18933,928,0.000399,1,yes,no,yes,main,2441,12082,71,1744,71.45,6851,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\nearest_insertion\berlin52_k5.txt
