dataset,instance,path,n,k,algorithm,max_route,total_distance,balance,runtime,iterations,return_to_depot,local_search,has_reference,reference_type,reference_max_route,reference_total_distance,reference_balance,max_route_gap,max_route_gap_percent,total_distance_gap,status,reference_source,reference_source_file,solution_path
cvrplib_converted,A-n32-k5,data\cvrplib_converted\A-n32-k5.txt,31,5,round_robin,367,1660,86,0.000009,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\A-n32-k5.txt
cvrplib_converted,A-n60-k9,data\cvrplib_converted\A-n60-k9.txt,59,9,round_robin,468,3116,297,0.000009,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\A-n60-k9.txt
cvrplib_converted,A-n80-k10,data\cvrplib_converted\A-n80-k10.txt,79,10,round_robin,556,3933,264,0.000008,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\A-n80-k10.txt
cvrplib_converted,M-n151-k12,data\cvrplib_converted\M-n151-k12.txt,150,12,round_robin,565,5062,233,0.000013,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\M-n151-k12.txt
cvrplib_converted,P-n101-k4,data\cvrplib_converted\P-n101-k4.txt,100,4,round_robin,990,3442,216,0.000009,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\P-n101-k4.txt
cvrplib_converted,X-n251-k28,data\cvrplib_converted\X-n251-k28.txt,250,28,round_robin,5665,114077,3735,0.000155,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\X-n251-k28.txt
cvrplib_converted,X-n459-k26,data\cvrplib_converted\X-n459-k26.txt,458,26,round_robin,8425,161748,3815,0.000051,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\X-n459-k26.txt
cvrplib_converted,X-n749-k98,data\cvrplib_converted\X-n749-k98.txt,748,98,round_robin,4704,284805,3260,0.000063,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\X-n749-k98.txt
cvrplib_converted,X-n1001-k43,data\cvrplib_converted\X-n1001-k43.txt,1000,43,round_robin,14660,524648,4871,0.000052,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\cvrplib_converted\round_robin\X-n1001-k43.txt
hustack,tc1,data\hustack\tc1.txt,10,2,round_robin,49,97,1,0.000007,1,no,no,yes,jury,28,53,3,21,75.00,44,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc1.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc1.txt
hustack,tc2,data\hustack\tc2.txt,600,20,round_robin,980,15678,388,0.000064,1,no,no,yes,jury,66,1277,8,914,1384.85,14401,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc2.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc2.txt
hustack,tc3,data\hustack\tc3.txt,800,20,round_robin,1290,21331,420,0.000137,1,no,no,yes,jury,75,1463,6,1215,1620.00,19868,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc3.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc3.txt
hustack,tc4,data\hustack\tc4.txt,1000,20,round_robin,1491,26101,331,0.000184,1,no,no,yes,jury,95,1827,9,1396,1469.47,24274,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc4.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc4.txt
hustack,tc5,data\hustack\tc5.txt,700,20,round_robin,1065,18770,262,0.000133,1,no,no,yes,jury,71,1380,8,994,1400.00,17390,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc5.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc5.txt
hustack,tc6,data\hustack\tc6.txt,100,5,round_robin,264,1055,92,0.000014,1,no,no,yes,jury,33,164,1,231,700.00,891,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc6.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc6.txt
hustack,tc7,data\hustack\tc7.txt,1000,20,round_robin,1491,26101,331,0.000105,1,no,no,yes,jury,95,1827,9,1396,1469.47,24274,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc7.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc7.txt
hustack,tc8,data\hustack\tc8.txt,500,10,round_robin,1546,13747,290,0.000036,1,no,no,yes,jury,104,1025,5,1442,1386.54,12722,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc8.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc8.txt
hustack,tc9,data\hustack\tc9.txt,100,5,round_robin,264,1055,92,0.000014,1,no,no,yes,jury,33,164,1,231,700.00,891,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc9.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc9.txt
hustack,tc10,data\hustack\tc10.txt,900,20,round_robin,1278,23310,427,0.000164,1,no,no,yes,jury,78,1535,4,1200,1538.46,21775,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc10.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc10.txt
hustack,tc11,data\hustack\tc11.txt,200,10,round_robin,230,1972,54,0.000028,1,no,no,yes,jury,28,274,3,202,721.43,1698,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc11.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc11.txt
hustack,tc12,data\hustack\tc12.txt,6,2,round_robin,17,32,2,0.000008,1,no,no,yes,jury,10,19,1,7,70.00,13,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc12.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc12.txt
hustack,tc13,data\hustack\tc13.txt,6,2,round_robin,17,32,2,0.000012,1,no,no,yes,jury,10,19,1,7,70.00,13,worse_max,HUSTACK jury output,data\raw\hustack_jury\tc13.out,outputs\experiments\algorithm_benchmarks\hustack\round_robin\tc13.txt
mtsplib_minmax,berlin52_k2,data\mtsplib_minmax\berlin52_k2.txt,51,2,round_robin,15313,28076,2550,0.000011,1,yes,no,yes,main,4110,8218,2,11203,272.58,19858,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\berlin52_k2.txt
mtsplib_minmax,berlin52_k3,data\mtsplib_minmax\berlin52_k3.txt,51,3,round_robin,10791,31704,385,0.000021,1,yes,no,yes,main,3245,9587,91,7546,232.54,22117,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\berlin52_k3.txt
mtsplib_minmax,berlin52_k5,data\mtsplib_minmax\berlin52_k5.txt,51,5,round_robin,8958,31868,4647,0.000018,1,yes,no,yes,main,2441,12082,71,6517,266.98,19786,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\berlin52_k5.txt
mtsplib_minmax,berlin52_k7,data\mtsplib_minmax\berlin52_k7.txt,51,7,round_robin,6395,34535,3109,0.000008,1,yes,no,yes,main,2440,16770,211,3955,162.09,17765,worse_max,MTSPLIB MinMaxMTSP tours,berlin52(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\berlin52_k7.txt
mtsplib_minmax,eil51_k2,data\mtsplib_minmax\eil51_k2.txt,50,2,round_robin,902,1640,164,0.000013,1,yes,no,yes,main,223,443,3,679,304.48,1197,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\eil51_k2.txt
mtsplib_minmax,eil51_k3,data\mtsplib_minmax\eil51_k3.txt,50,3,round_robin,656,1732,158,0.000010,1,yes,no,yes,main,159,474,3,497,312.58,1258,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\eil51_k3.txt
mtsplib_minmax,eil51_k5,data\mtsplib_minmax\eil51_k5.txt,50,5,round_robin,412,1559,175,0.000025,1,yes,no,yes,main,124,613,3,288,232.26,946,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\eil51_k5.txt
mtsplib_minmax,eil51_k7,data\mtsplib_minmax\eil51_k7.txt,50,7,round_robin,279,1767,80,0.000013,1,yes,no,yes,main,112,760,14,167,149.11,1007,worse_max,MTSPLIB MinMaxMTSP tours,eil51(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\eil51_k7.txt
mtsplib_minmax,eil76_k2,data\mtsplib_minmax\eil76_k2.txt,75,2,round_robin,1371,2670,72,0.000009,1,yes,no,yes,main,279,556,2,1092,391.40,2114,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\eil76_k2.txt
mtsplib_minmax,eil76_k3,data\mtsplib_minmax\eil76_k3.txt,75,3,round_robin,1004,2896,79,0.000015,1,yes,no,yes,main,195,581,3,809,414.87,2315,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\eil76_k3.txt
mtsplib_minmax,eil76_k5,data\mtsplib_minmax\eil76_k5.txt,75,5,round_robin,672,2741,219,0.000020,1,yes,no,yes,main,149,742,1,523,351.01,1999,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\eil76_k5.txt
mtsplib_minmax,eil76_k7,data\mtsplib_minmax\eil76_k7.txt,75,7,round_robin,419,2418,122,0.000018,1,yes,no,yes,main,140,958,9,279,199.29,1460,worse_max,MTSPLIB MinMaxMTSP tours,eil76(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\eil76_k7.txt
mtsplib_minmax,rat99_k2,data\mtsplib_minmax\rat99_k2.txt,98,2,round_robin,1786,3568,4,0.000019,1,yes,no,yes,main,726,1451,1,1060,146.01,2117,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=2)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\rat99_k2.txt
mtsplib_minmax,rat99_k3,data\mtsplib_minmax\rat99_k3.txt,98,3,round_robin,1567,4659,37,0.000028,1,yes,no,yes,main,585,1744,10,982,167.86,2915,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=3)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\rat99_k3.txt
mtsplib_minmax,rat99_k5,data\mtsplib_minmax\rat99_k5.txt,98,5,round_robin,1182,5713,82,0.000018,1,yes,no,yes,main,468,2331,4,714,152.56,3382,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=5)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\rat99_k5.txt
mtsplib_minmax,rat99_k7,data\mtsplib_minmax\rat99_k7.txt,98,7,round_robin,799,5273,82,0.000034,1,yes,no,yes,main,444,3068,23,355,79.95,2205,worse_max,MTSPLIB MinMaxMTSP tours,rat99(m=7)-tours.txt,outputs\experiments\algorithm_benchmarks\mtsplib_minmax\round_robin\rat99_k7.txt
tsplib_converted,berlin52_k3,data\tsplib_converted\berlin52_k3.txt,51,3,round_robin,10290,29478,719,0.000020,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\berlin52_k3.txt
tsplib_converted,ch130_k10,data\tsplib_converted\ch130_k10.txt,129,10,round_robin,5647,44808,1854,0.000023,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\ch130_k10.txt
tsplib_converted,eil51_k2,data\tsplib_converted\eil51_k2.txt,50,2,round_robin,888,1602,174,0.000011,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\eil51_k2.txt
tsplib_converted,kroA100_k5,data\tsplib_converted\kroA100_k5.txt,99,5,round_robin,39026,161510,9344,0.000020,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\kroA100_k5.txt
tsplib_converted,kroA200_k20,data\tsplib_converted\kroA200_k20.txt,199,20,round_robin,22084,342251,10890,0.000032,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\kroA200_k20.txt
tsplib_converted,lin318_k20,data\tsplib_converted\lin318_k20.txt,317,20,round_robin,19257,325125,4470,0.000027,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\lin318_k20.txt
tsplib_converted,pcb442_k50,data\tsplib_converted\pcb442_k50.txt,441,50,round_robin,20636,644779,11766,0.000041,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\pcb442_k50.txt
tsplib_converted,u724_k100,data\tsplib_converted\u724_k100.txt,723,100,round_robin,9626,731471,3942,0.000092,1,no,no,no,,,,,,,,no_reference,,,outputs\experiments\algorithm_benchmarks\tsplib_converted\round_robin\u724_k100.txt
